time,roll,pitch,roll_error,pitch_error,roll_vel,pitch_vel,state_vector,control_roll,control_pitch,control_magnitude,raw_control_roll,raw_control_pitch,inertia_roll,inertia_pitch,dt
136.69,0.046217939473540935,-0.02761612641268087,-0.046217939473540935,0.02761612641268087,-0.28725169535562456,0.314812813895853,"-0.046217939473540935,-0.28725169535562456,0.02761612641268087,0.314812813895853",-0.0013424767040583871,0.003682930670570942,0.003919977299063299,-0.004617456033177946,0.0070148690239053854,0.00058474,0.00029699,0.017
136.707,0.046217939473540935,-0.02761612641268087,-0.046217939473540935,0.02761612641268087,-0.22980135628449966,0.2518502511166824,"-0.046217939473540935,-0.22980135628449966,0.02761612641268087,0.2518502511166824",-0.001974409979266129,0.004236819015867095,0.004674283917290294,-0.00344892095475086,0.005529225154891453,0.00058474,0.00029699,0.017
136.723,0.046217939473540935,-0.02761612641268087,-0.046217939473540935,0.02761612641268087,-0.18384108502759974,0.20148020089334595,"-0.046217939473540935,-0.18384108502759974,0.02761612641268087,0.20148020089334595",-0.002136314853089048,0.0042679863290110585,0.004772792521800437,-0.002514092892009192,0.004340710059680309,0.00058474,0.00029699,0.016
136.74,0.046217939473540935,-0.02761612641268087,-0.046217939473540935,0.02761612641268087,-0.1470728680220798,0.16118416071467678,"-0.046217939473540935,-0.1470728680220798,0.02761612641268087,0.16118416071467678",-0.0020252895297070907,0.004004559825361159,0.0044875714004389685,-0.0017662304418158568,0.003389897983511393,0.00058474,0.00029699,0.017
136.757,0.007427069720600949,0.0024154407748777354,-0.007427069720600949,-0.0024154407748777354,0.33870487914633596,-0.22436522657600685,"-0.007427069720600949,0.33870487914633596,-0.0024154407748777354,-0.22436522657600685",0.0007081325870338699,0.0012258235966838985,0.0014156607118255174,0.007086117526096111,-0.00525789427022971,0.00058474,0.00029699,0.017
136.773,0.007427069720600949,0.0024154407748777354,-0.007427069720600949,-0.0024154407748777354,0.27096390331706877,-0.1794921812608055,"-0.007427069720600949,0.27096390331706877,-0.0024154407748777354,-0.1794921812608055",0.0022081743386446265,-0.0004016488893683808,0.0022444054313290832,0.0057082717590697255,-0.004199084690157033,0.00058474,0.00029699,0.016
136.79,0.007427069720600949,0.0024154407748777354,-0.007427069720600949,-0.0024154407748777354,0.21677112265365503,-0.14359374500864439,"-0.007427069720600949,0.21677112265365503,-0.0024154407748777354,-0.14359374500864439",0.0029275205806858235,-0.0012867653303875336,0.003197833917799109,0.0046059951454486174,-0.0033520370260988904,0.00058474,0.00029699,0.017
136.807,0.007427069720600949,0.0024154407748777354,-0.007427069720600949,-0.0024154407748777354,0.17341689812292405,-0.11487499600691552,"-0.007427069720600949,0.17341689812292405,-0.0024154407748777354,-0.11487499600691552",0.0031665165628455955,-0.0017030553997269865,0.0035954450124170627,0.0037241738545517305,-0.002674398894852377,0.00058474,0.00029699,0.017
136.823,0.007427069720600949,0.0024154407748777354,-0.007427069720600949,-0.0024154407748777354,0.13873351849833923,-0.09189999680553242,"-0.007427069720600949,0.13873351849833923,-0.0024154407748777354,-0.09189999680553242",0.0031221766405421826,-0.0018318252967654402,0.00361988548059425,0.0030187168218342207,-0.0021322883898551655,0.00058474,0.00029699,0.016
136.84,0.004782590268595219,-0.004566691006457183,-0.004782590268595219,0.004566691006457183,0.1420983377634447,0.008622729394808404,"-0.004782590268595219,0.1420983377634447,0.004566691006457183,0.008622729394808404",0.0030906395050339297,-0.0012417458633360665,0.0033307634769206606,0.003017052855514674,0.00013510614799913833,0.00058474,0.00029699,0.017
