time,roll,pitch,roll_error,pitch_error,roll_P,roll_I,roll_D,pitch_P,pitch_I,pitch_D,roll_output,pitch_output,total_output_mag
60.734,-0.02410188172354343,-0.012104426524212572,0.02410188172354343,0.012104426524212572,0.003615282258531514,-0.0006720314327881068,0.002083442198306213,0.0018156639786318857,0.001697705294852316,0.0013910134205897863,0.00502669302404962,0.004904382694073988,0.007022863544734552
60.75,-0.02410188172354343,-0.012104426524212572,0.02410188172354343,0.012104426524212572,0.003615282258531514,-0.0006643188306365729,0.0,0.0018156639786318857,0.0017015787113400641,0.0,0.002950963427894941,0.0035172426899719497,0.004591206953834098
60.767,-0.02410188172354343,-0.012104426524212572,0.02410188172354343,0.012104426524212572,0.003615282258531514,-0.0006561241908505681,0.0,0.0018156639786318857,0.0017056942163582965,0.0,0.002959158067680946,0.0035213581949901825,0.0045996282466027345
60.784,-0.02410188172354343,-0.012104426524212572,0.02410188172354343,0.012104426524212572,0.003615282258531514,-0.0006479295510645634,0.0,0.0018156639786318857,0.0017098097213765287,0.0,0.0029673527074669504,0.0035254737000084144,0.004608052397701491
60.8,-0.032582851486768705,-0.015863462421443472,0.032582851486768705,0.015863462421443472,0.004887427723015305,-0.0006375030385887974,0.0010601212204031597,0.0023795193632165207,0.0017148860293513908,0.0004698794871538625,0.005310045904829668,0.004564284879721774,0.007002091400050069
60.817,-0.032582851486768705,-0.015863462421443472,0.032582851486768705,0.015863462421443472,0.004887427723015305,-0.0006264248690832961,0.0,0.0023795193632165207,0.0017202796065746814,0.0,0.004261002853932009,0.004099798969791202,0.0059130784633655694
60.834,-0.032582851486768705,-0.015863462421443472,0.032582851486768705,0.015863462421443472,0.004887427723015305,-0.0006153466995777947,0.0,0.0023795193632165207,0.0017256731837979721,0.0,0.004272081023437511,0.004105192547014493,0.005924802285214101
60.85,-0.032582851486768705,-0.015863462421443472,0.032582851486768705,0.015863462421443472,0.004887427723015305,-0.0006049201871020288,0.0,0.0023795193632165207,0.0017307494917728342,0.0,0.004282507535913277,0.004110268854989355,0.005935838681723882
60.867,-0.01765031749305719,-0.0032261670153221856,0.01765031749305719,0.0032261670153221856,0.0026475476239585785,-0.0005989190791543893,-0.0017567687051425309,0.00048392505229832784,0.0017318463885580438,-0.0014867406360142689,0.0002918598396616581,0.0007290308048421026,0.0007852821661135904
60.884,-0.01765031749305719,-0.0032261670153221856,0.01765031749305719,0.0032261670153221856,0.0026475476239585785,-0.0005929179712067499,0.0,0.00048392505229832784,0.0017329432853432534,0.0,0.002054629652751829,0.0022168683376415812,0.0030225830404481606
60.9,-0.01765031749305719,-0.0032261670153221856,0.01765031749305719,0.0032261670153221856,0.0026475476239585785,-0.0005872698696089716,0.0,0.00048392505229832784,0.0017339756587881564,0.0,0.0020602777543496068,0.002217900711086484,0.003027181525661418
60.917,-0.01765031749305719,-0.0032261670153221856,0.01765031749305719,0.0032261670153221856,0.0026475476239585785,-0.0005812687616613321,0.0,0.00048392505229832784,0.001735072555573366,0.0,0.002066278862297246,0.002218997607871694,0.003032071687892076
60.934,0.006465312094279377,0.012127989747715326,-0.006465312094279377,-0.012127989747715326,-0.0009697968141419064,-0.0005834669677733871,-0.002837132892627831,-0.0018191984621572987,0.001730949039059143,-0.001806371383886766,-0.004390396674543124,-0.0018946208069849219,0.004781753962940745
60.95,0.006465312094279377,0.012127989747715326,-0.006465312094279377,-0.012127989747715326,-0.0009697968141419064,-0.0005855358676435566,0.0,-0.0018191984621572987,0.001727068082339874,0.0,-0.0015553326817854631,-9.213037981742464e-05,0.0015580589712572705
60.967,0.006465312094279377,0.012127989747715326,-0.006465312094279377,-0.012127989747715326,-0.0009697968141419064,-0.0005877340737556116,0.0,-0.0018191984621572987,0.001722944565825651,0.0,-0.001557530887897518,-9.625389633164771e-05,0.001560502252261705
60.984,0.006465312094279377,0.012127989747715326,-0.006465312094279377,-0.012127989747715326,-0.0009697968141419064,-0.0005899322798676665,0.0,-0.0018191984621572987,0.001718821049311428,0.0,-0.0015597290940095728,-0.00010037741284587079,0.001562955684499581
61.0,0.006465312094279377,0.012127989747715326,-0.006465312094279377,-0.012127989747715326,-0.0009697968141419064,-0.0005920011797378359,0.0,-0.0018191984621572987,0.001714940092592159,0.0,-0.0015617979938797424,-0.00010425836956513964,0.001565274027546349
61.017,-0.013572717246686886,0.016845424952818114,0.013572717246686886,-0.016845424952818114,0.002035907587003033,-0.0005873864558739623,0.0023574152165842656,-0.002526813742922717,0.0017092126481082009,-0.0005549923770709162,0.003805936347713336,-0.0013725934718854323,0.004045882391012872
61.034,-0.013572717246686886,0.016845424952818114,0.013572717246686886,-0.016845424952818114,0.002035907587003033,-0.0005827717320100888,0.0,-0.002526813742922717,0.001703485203624243,0.0,0.0014531358549929442,-0.0008233285392984741,0.00167017175664344
61.05,-0.013572717246686886,0.016845424952818114,0.013572717246686886,-0.016845424952818114,0.002035907587003033,-0.000578428462491149,0.0,-0.002526813742922717,0.001698094667639341,0.0,0.0014574791245118841,-0.000828719075283376,0.0016766098842982114
61.067,-0.013572717246686886,0.016845424952818114,0.013572717246686886,-0.016845424952818114,0.002035907587003033,-0.0005738137386272754,0.0,-0.002526813742922717,0.001692367223155383,0.0,0.0014620938483757575,-0.000834446519767334,0.001683454607588232
61.084,-0.055349903802384394,0.04362682443682905,0.055349903802384394,-0.04362682443682905,0.008302485570357659,-0.0005549947713344648,0.004914963124199707,-0.0065440236655243565,0.001677534102846861,-0.0031507528804718744,0.012662453923222902,-0.00801724244314937,0.01498712499947801
61.1,-0.055349903802384394,0.04362682443682905,0.055349903802384394,-0.04362682443682905,0.008302485570357659,-0.0005372828021177017,0.0,-0.0065440236655243565,0.0016635735190270757,0.0,0.007765202768239957,-0.004880450146497281,0.00917154118261085
61.117,-0.055349903802384394,0.04362682443682905,0.055349903802384394,-0.04362682443682905,0.008302485570357659,-0.0005184638348248911,0.0,-0.0065440236655243565,0.0016487403987185537,0.0,0.007784021735532768,-0.0048952832668058026,0.00919536799924372
61.134,-0.055349903802384394,0.04362682443682905,0.055349903802384394,-0.04362682443682905,0.008302485570357659,-0.0004996448675320804,0.0,-0.0065440236655243565,0.0016339072784100318,0.0,0.007802840702825578,-0.004910116387114325,0.00921919551634958
61.15,-0.06617944081289782,0.04980342547910623,0.06617944081289782,-0.04980342547910623,0.009926916121934673,-0.0004784674464719531,0.0013536921263141788,-0.0074705138218659345,0.0016179701822567178,-0.0007720751302846482,0.0108021408017769,-0.0066246187698938645,0.012671693641650408
61.167,-0.06617944081289782,0.04980342547910623,0.06617944081289782,-0.04980342547910623,0.009926916121934673,-0.00045596643659556784,0.0,-0.0074705138218659345,0.0016010370175938216,0.0,0.009470949685339106,-0.005869476804272113,0.011142245998815197
61.184,-0.06617944081289782,0.04980342547910623,0.06617944081289782,-0.04980342547910623,0.009926916121934673,-0.0004334654267191826,0.0,-0.0074705138218659345,0.0015841038529309254,0.0,0.00949345069521549,-0.005886409968935009,0.011170292226475765
61.2,-0.06617944081289782,0.04980342547910623,0.06617944081289782,-0.04980342547910623,0.009926916121934673,-0.0004122880056590553,0.0,-0.0074705138218659345,0.0015681667567776115,0.0,0.009514628116275618,-0.005902347065088323,0.011196689201178143
61.217,-0.008115973394075496,0.008746466398121988,0.008115973394075496,-0.008746466398121988,0.0012173960091113245,-0.00040952857470506965,-0.006830996166920274,-0.0013119699597182982,0.0015651929582022502,0.004830230480115793,-0.006023128732514019,0.005083453478599745,0.0078815974901998
61.234,-0.008115973394075496,0.008746466398121988,0.008115973394075496,-0.008746466398121988,0.0012173960091113245,-0.000406769143751084,0.0,-0.0013119699597182982,0.0015622191596268886,0.0,0.0008106268653602406,0.00025024919990859046,0.0008483752571230842
61.25,-0.008115973394075496,0.008746466398121988,0.008115973394075496,-0.008746466398121988,0.0012173960091113245,-0.0004041720322649798,0.0,-0.0013119699597182982,0.0015594202903794897,0.0,0.0008132239768463447,0.00024745033066119154,0.0008500381771791883
61.267,-0.008115973394075496,0.008746466398121988,0.008115973394075496,-0.008746466398121988,0.0012173960091113245,-0.00040141260131099413,0.0,-0.0013119699597182982,0.0015564464918041282,0.0,0.0008159834078003303,0.00024447653208583,0.0008518202254854918
61.294,0.016497505461373643,-0.005852337571654268,-0.016497505461373643,0.005852337571654268,-0.0024746258192060466,-0.0004103212542601359,-0.0018232206559591956,0.0008778506357481402,0.0015596067540928217,0.001081392886650093,-0.004708167729425378,0.0035188502764910553,0.005877852553166309
61.3,0.016497505461373643,-0.005852337571654268,-0.016497505461373643,0.005852337571654268,-0.0024746258192060466,-0.0004123009549155007,0.0,0.0008778506357481402,0.00156030903460142,0.0,-0.0028869267741215474,0.0024381596703495602,0.00377875227783708
61.317,0.016497505461373643,-0.005852337571654268,-0.016497505461373643,0.005852337571654268,-0.0024746258192060466,-0.00041791010677236776,0.0,0.0008778506357481402,0.0015622988293757826,0.0,-0.0028925359259784145,0.002440149465123923,0.003784322065472278
61.334,0.016497505461373643,-0.005852337571654268,-0.016497505461373643,0.005852337571654268,-0.0024746258192060466,-0.0004235192586292348,0.0,0.0008778506357481402,0.001564288624150145,0.0,-0.002898145077835281,0.0024421392598982855,0.0037898930139144316
61.35,-0.006452320493144625,0.0005880616290915938,0.006452320493144625,-0.0005880616290915938,0.0009678480739716937,-0.0004214545160714285,0.0028687282443147838,-8.820924436373906e-05,0.0015641004444288357,-0.0008050499000932328,0.003415121802215049,0.0006708412999718639,0.003480385750705301
61.367,-0.006452320493144625,0.0005880616290915938,0.006452320493144625,-0.0005880616290915938,0.0009678480739716937,-0.00041926072710375933,0.0,-8.820924436373906e-05,0.0015639005034749445,0.0,0.0005485873468679343,0.0014756912591112055,0.0015743610670239576
61.384,-0.006452320493144625,0.0005880616290915938,0.006452320493144625,-0.0005880616290915938,0.0009678480739716937,-0.0004170669381360902,0.0,-8.820924436373906e-05,0.0015637005625210535,0.0,0.0005507811358356035,0.0014754913181573145,0.0015749395193308112
61.4,-0.006452320493144625,0.0005880616290915938,0.006452320493144625,-0.0005880616290915938,0.0009678480739716937,-0.00041500219557828386,0.0,-8.820924436373906e-05,0.0015635123827997441,0.0,0.0005528458783934098,0.0014753031384360051,0.0015754865646953982
61.417,-0.006452320493144625,0.0005880616290915938,0.006452320493144625,-0.0005880616290915938,0.0009678480739716937,-0.0004128084066106147,0.0,-8.820924436373906e-05,0.001563312441845853,0.0,0.000555039667361079,0.001475103197482114,0.0015760705807692287
